full_address,zip5,final_latitude,final_longitude,geocode_source,used_zip_fallback
"ZIP_CENTER_UNKNOWN, PETERSBURG, AK 99833",99833,,,manual,False
"ZIP_CENTER_UNKNOWN, CORDOVA, AK 99574",99574,,,manual,False
"ZIP_CENTER_UNKNOWN, DILLINGHAM, AK 99576",99576,,,manual,False
"ZIP_CENTER_UNKNOWN, KOTZEBUE, AK 99752",99752,,,manual,False
"ZIP_CENTER_UNKNOWN, FORT DEFIANCE, AZ 86504",86504,,,manual,False
"ZIP_CENTER_UNKNOWN, TUBA CITY, AZ 86045",86045,,,manual,False
"ZIP_CENTER_UNKNOWN, SAN FRANCISCO, CA 94143",94143,,,manual,False
"ZIP_CENTER_UNKNOWN, LEWISTON, ME 04243",04243,,,manual,False
"ZIP_CENTER_UNKNOWN, OAK BLUFFS, MA 02557",02557,,,manual,False
"ZIP_CENTER_UNKNOWN, REDLAKE, MN 56671",56671,,,manual,False
"ZIP_CENTER_UNKNOWN, GREENVILLE, MS 38704",38704,,,manual,False
"ZIP_CENTER_UNKNOWN, MCCOMB, MS 39649",39649,,,manual,False
"ZIP_CENTER_UNKNOWN, BRANSON, MO 65615",65615,,,manual,False
"ZIP_CENTER_UNKNOWN, FAYETTEVILLE, NC 28302",28302,,,manual,False
"ZIP_CENTER_UNKNOWN, LUMBERTON, NC 28359",28359,,,manual,False
"ZIP_CENTER_33549, CHARLOTTE, NC 28233",28233,,,manual,False
"ZIP_CENTER_UNKNOWN, LEXINGTON, NC 27293",27293,,,manual,False
"ZIP_CENTER_UNKNOWN, WILMINGTON, NC 28402",28402,,,manual,False
"ZIP_CENTER_UNKNOWN, STATESVILLE, NC 28687",28687,,,manual,False
"ZIP_CENTER_UNKNOWN, MATTHEWS, NC 28106",28106,,,manual,False
"ZIP_CENTER_UNKNOWN, SIOUX FALLS, SD 57117",57117,,,manual,False
"ZIP_CENTER_UNKNOWN, RICHMOND, VA 23298",23298,,,manual,False
"ZIP_CENTER_UNKNOWN, LOW MOOR, VA 24457",24457,,,manual,False
"ZIP_CENTER_UNKNOWN, SEATTLE, WA 98195",98195,,,manual,False
"ZIP_CENTER_UNKNOWN, WRANGELL, AK 99929",99929,,,manual,False
"ZIP_CENTER_15000, ELDRIDGE, CA 95431",95431,,,manual,False
"ZIP_CENTER_UNKNOWN, ROME, GA 30162",30162,,,manual,False
"ZIP_CENTER_UNKNOWN, KEARNEY, NE 68848",68848,,,manual,False
"ZIP_CENTER_UNKNOWN, DURHAM, NC 27710",27710,,,manual,False
"ZIP_CENTER_UNKNOWN, GARAPAN, MP 96950",96950,,,manual,False
"ZIP_CENTER_UNKNOWN, CAROLINA, PR 00984",00984,,,manual,False
"ZIP_CENTER_UNKNOWN, VALDOSTA, GA 31603",31603,,,manual,False
"ZIP_CENTER_UNKNOWN, GULFPORT, MS 39502",39502,,,manual,False
"ZIP_CENTER_UNKNOWN, EASLEY, SC 29641",29641,,,manual,False
"ZIP_CENTER_UNKNOWN, PAGO PAGO, AS 96799",96799,,,manual,False
"ZIP_CENTER_UNKNOWN, WILMINGTON, DE 19899",19899,,,manual,False
"ZIP_CENTER_12435, COLUMBUS, GA 31917",31917,,,manual,False
"ZIP_CENTER_UNKNOWN, WHITFIELD, MS 39193",39193,,,manual,False
"ZIP_CENTER_24423, KENT, WA 98064",98064,,,manual,False
"ZIP_CENTER_UNKNOWN, TACOMA, WA 98415",98415,,,manual,False
"ZIP_CENTER_94949, LINCOLN, NE 68509",68509,,,manual,False
